Nazwa;telefon;Adres;Rodzaj;Dzielnica;Okolica;Na wynos;Ocena;Rodzaje kuchni;Okazja;Specjalne Dania;Specjalne Menu;Udogodnienia osobiste;Alkohol;Rozrywka;Dodatki;0
Waffle Bar;48 505 329 346;Akademicka 1;Szybkie jedzenie;Ochota;Stara Ochota;Dostêpna opcja na wynos;;Amerykañska;Spotkanie z przyjació³mi;Przyjazne wegetarianom;Menu lunchowe, Opcje wegañskie;Przyjazne zwierzêtom;Wino i Piwo;;Wifi;0
Lunchownia;48500048421;Fieldorfa 10, lokal 307;Kantyna;Praga Po³udnie;Goc³aw;Dostêpna opcja na wynos;4;Poska;;;;Przyjazne dzieciom,Przyjazne zwierzêtom;;;;0
Warszawa Wschodnia;22 870 29 18;Miñska 25;Eksluzywna Restauracja;Praga Po³udnie;Grochów;;;Francuska,Polska,Miêdzynarodowa;Elegancka Kolacja;;Menu lunchowe;Przyjazne dzieciom,Przyjazne zwierzêtom,Dla niepe³nosprawnych;Pe³ny bar;Muzyka na ¿ywo;Wifi,Ogródek;0
Santorini;22 672 05 25;Egipska 7;Restauracja;Praga Po³udnie;Saska Kêpa;Dostêpna opcja na wynos;4;Grecka;Spotkanie z przyjació³mi;;;Przyjazne dzieciom;Pe³ny bar;Muzyka na ¿ywo, Gry Planszowe;Wifi;0
Skamiejka;48512123967;Z¹bkowska 37;Restauracja;Praga Pó³noc;Szmulowizna;;4;Rosyjska;;;;Przyjazne dzieciom,Przyjazne zwierzêtom;Pe³ny bar;Gry Planszowe;;0
Turkawka;48730424637;Okrzei 35;Kawiarnia;Praga Pó³noc;Stara Praga;Dostêpna opcja na wynos;4;;;Bezglutenu;Opcje wegañskie;Przyjzane dzieciom,Przyjazne zwierzêtom;Wino i Piwo;Gry Planszowe,Sport;;0
Restauracja Myœliwska;22 673 44 00;Chruœciela 25 A;Restauracja;Rembertów;Rembertów;Dostêpna opcja na wynos;5;Polska;Lunch;;Menu lunchowe;;Pe³ny bar;;;0
Karmnik;22 468 06 64;Piwna 4A;Bar;Œródmieœcie;Stare Miasto;Dostêpna opcja na wynos;5;Polska;Œniadanie;;;Przyjazne zwierzêtom;Pe³ny bar;;Wifi,Ogróek;0
MOD;48570205746;Oleandrów 8;Cukiernia;Œródmieœcie;Œródmieœcie Po³udniowe;;4;Azjatycka,Francuska;;Desery i wypieki;;Przyjazne zwierzêtom;;;Wifi;0
Ceviche Bar;22 304 94 02;Twarda 2/4;Restauracja;Œródmieœcie;Œródmieœcie Pó³nocne;;4;Argentyñska;Elegancka Kolacja;;;;Pe³ny bar;;Ogródek,Wifi;0
